AIRPORT_ID,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_STATE,AIRPORT_COUNTRY,ICAO,LCHG_DATE,RECORD_STATUS,Record_End
5G2 ,INDIAN LAKE                                       ,CENTRAL CITY          ,PA,  , ,4/26/11,I, 
5G3 ,HARROLD MUNI                                      ,HARROLD               ,SD,  , ,4/26/11,I, 
5G4 ,EAU CLAIRE LAKES                                  ,DRUMMOND              ,WI,  , ,7/24/02,A, 
5G5 ,GREGG                                             ,EIGHTY FOUR           ,PA,  , ,10/22/02,I, 
5G6 ,CHERRY SPRINGS                                    ,GALETON               ,PA,  , ,3/15/07,I, 
5G7 ,BLUFFTON                                          ,BLUFFTON              ,OH,  , ,6/2/89,A, 
5G8 ,GREENSBURG JEANNETTE RGNL                         ,JEANNETTE             ,PA,  , ,9/28/06,A, 
5G9 ,TOLEDO SUBURBAN                                   ,LAMBERTVILLE          ,MI,  , ,7/28/14,I, 
5GA0,GABLE BRANCH                                      ,HARALSON              ,GA,  , ,6/2/89,A, 
5GA1,VANGUARD LANDING                                  ,WAYNESBORO            ,GA,  , ,5/26/10,A, 
5GA2,LYONS LANDING                                     ,WHITESBURG            ,GA,  , ,10/23/91,A, 
5GA3,EAGLES LANDING                                    ,WILLIAMSON            ,GA,  , ,6/2/89,A, 
5GA4,AIR ACRES                                         ,WOODSTOCK             ,GA,  , ,6/2/89,A, 
5GA5,PINEBROOK ESTATES                                 ,GRIFFIN               ,GA,  , ,6/7/91,A, 
5GA6,RONEY FARMS                                       ,LILLY                 ,GA,  , ,6/2/89,A, 
5GA7,PANACEA                                           ,FRANKLIN/GLENN        ,GA,  , ,6/2/89,A, 
5GA8,JIMMY CARTER BLVD PRECINCT                        ,NORCROSS              ,GA,  , ,3/12/09,I, 
5GA9,SKYPAD                                            ,ATLANTA               ,GA,  , ,5/7/09,I, 
5GE1,PEACHTREE LANDINGS                                ,FORT VALLEY           ,GA,  , ,5/16/05,A, 
5H1 ,THE ADWELL CORPORATION                            ,MEYER                 ,IL,  , ,10/22/02,I, 
5H2 ,ALAN B. JANSSEN                                   ,MORRISONVILLE         ,IL,  , ,10/22/02,I, 
5H3 ,CLEAR LAKE MUNI                                   ,CLEAR LAKE            ,SD,  , ,7/17/02,A, 
5H4 ,HARVEY MUNI                                       ,HARVEY                ,ND,  , ,7/9/02,A, 
5H6 ,PAUL E. KROENLEIN                                 ,MOWEAQUA              ,IL,  , ,10/22/02,I, 
5H7 ,MAYHALL                                           ,MURDOCK               ,IL,  , ,10/22/02,I, 
5H8 ,BUNN                                              ,NEBO                  ,IL,  , ,10/22/02,I, 
5HO ,HOPE                                              ,HOPE                  ,AK,  , ,6/2/89,A, 
5I1 ,GREENWOOD MUNI                                    ,INDIANAPOLIS          ,IN,  , ,10/31/03,I, 
5I2 ,FLORA MUNI                                        ,FLORA                 ,IN,  , ,6/2/89,A, 
5I4 ,SHERIDAN                                          ,SHERIDAN              ,IN,  , ,6/2/89,A, 
5I5 ,CODELL                                            ,WINCHESTER            ,KY,  , ,10/22/02,I, 
5I6 ,GALVESTON                                         ,GALVESTON             ,IN,  , ,6/2/89,A, 
5I8 ,HOWARD COUNTY                                     ,GREENTOWN             ,IN,  , ,10/22/02,I, 
5I9 ,BECKERMAN FIELD                                   ,MOUNT CARMEL          ,IL,  , ,10/22/02,I, 
5IA0,SKIFF MEDICAL CENTER                              ,NEWTON                ,IA,  , ,7/1/93,A, 
5IA2,MARIAN HEALTH CENTER NR 2                         ,SIOUX CITY            ,IA,  , ,6/2/89,A, 
5IA3,WATKINS PRIVATE                                   ,HUMESTON              ,IA,  , ,6/2/89,A, 
5IA4,MARIAN HEALTH CENTER NR 3                         ,SIOUX CITY            ,IA,  , ,6/2/89,A, 
5IA5,FOLKERTS                                          ,RUDD                  ,IA,  , ,2/23/12,I, 
5IA6,FLYING S RANCH                                    ,RENWICK               ,IA,  , ,12/18/91,A, 
5IA7,MURPHY FIELD PRIVATE                              ,WELLMAN               ,IA,  , ,6/11/02,A, 
5IA8,SANFORD MERRILL MEDICAL CENTER                    ,ROCK RAPIDS           ,IA,  , ,11/20/08,A, 
5IA9,COMMUNITY MEMORIAL HEALTH CENTER                  ,HARTLEY               ,IA,  , ,11/20/08,I, 
5II0,PAM'S PLACE                                       ,EMINENCE              ,IN,  , ,10/22/02,I, 
5II1,LAYNE FIELD                                       ,NEW WINCHESTER        ,IN,  , ,6/11/02,A, 
5II2,MILES FIELD                                       ,NEW WHITELAND         ,IN,  , ,1/11/13,I, 
5II3,ENGDAHL FARM (MOONSTRAKA)                         ,TREVIAC               ,IN,  , ,5/11/93,A, 
5II4,HOPKINS                                           ,MOORESVILLE           ,IN,  , ,6/2/89,A, 
5II5,KOESTER FIELD                                     ,ST. WENDEL            ,IN,  , ,2/23/12,A, 
5II6,MARBLE HILL                                       ,NEW WASHINGTON        ,IN,  , ,5/26/10,I, 
5II7,FORT WAYNE-DISTRICT OPERATIONS                    ,FORT WAYNE            ,IN,  , ,6/11/02,A, 
5II8,JACOBI                                            ,PALMYRA               ,IN,  , ,6/2/89,A, 
5II9,AERO PLAINES                                      ,YOUNGSTOWN            ,IN,  , ,6/2/89,A, 
5IL0,HERRIN HOSPITAL                                   ,HERRIN                ,IL,  , ,6/11/02,A, 
5IL1,OLSON                                             ,PECATONICA            ,IL,  , ,7/1/93,A, 
5IL2,PANTHER FIELD                                     ,PINCKNEYVILLE         ,IL,  , ,6/11/02,A, 
5IL3,GALESBURG COTTAGE HOSPITAL                        ,GALESBURG             ,IL,  , ,6/2/89,A, 
5IL4,PRAIRIE STATE GENERATING                          ,MARISSA               ,IL,  , ,2/7/14,A, 
5IL5,HOPE FIELD                                        ,MAZON                 ,IL,  , ,2/7/14,A, 
5IL6,HEARTLAND RGNL MEDICAL CENTER                     ,MARION                ,IL,  , ,9/28/06,A, 
5IL7,HOWARD                                            ,SENECA                ,IL,  , ,6/11/02,A, 
5IL8,WOODLEY 2                                         ,WALNUT                ,IL,  , ,11/19/12,A, 
5IL9,SALEM TOWNSHIP HOSPITAL                           ,SALEM                 ,IL,  , ,3/17/05,A, 
5IN0,YODER FIELD                                       ,LAGRANGE              ,IN,  , ,10/5/10,A, 
5IN1,INDIANA UNIVERSITY HEALTH WEST HOSPITAL           ,AVON                  ,IN,  , ,11/19/12,A, 
5IN2,ST JOSEPH'S REGIONAL MED CNTR EDISON LAKES        ,MISHAWAKA             ,IN,  , ,7/26/10,A, 
5IN3,TRAGESSER                                         ,TIPTON                ,IN,  , ,6/11/02,A, 
5IN4,WYCKOFF AIRSTRIP                                  ,VALPARAISO            ,IN,  , ,6/11/02,A, 
5IN5,BERKEY FIELD                                      ,WARSAW                ,IN,  , ,2/23/12,I, 
5IN6,ORTHODONTIC STRIP                                 ,WESTVILLE             ,IN,  , ,3/19/13,I, 
5IN7,CLEAR LAKE                                        ,CLEAR LAKE            ,IN,  , ,2/23/12,I, 
5IN8,CROOKED LAKE                                      ,ANGOLA                ,IN,  , ,2/23/12,I, 
5IN9,STANGLAND                                         ,WOLFLAKE              ,IN,  , ,6/11/02,A, 
5IP ,ISABEL                                            ,DELTA JUNCTION        ,AK,  , ,10/22/02,I, 
5IS0,LEFFELMAN                                         ,SUBLETTE              ,IL,  , ,10/22/02,I, 
5IS1,MEMORIAL HOSP OF CARBONDALE                       ,CARBONDALE            ,IL,  , ,5/10/07,A, 
5IS2,BOYD HOSPITAL                                     ,CARROLLTON            ,IL,  , ,6/2/89,A, 
5IS3,RIVERVEIW                                         ,EVANSVILLE            ,IL,  , ,6/2/89,A, 
5IS4,CORMAN ACRES                                      ,LAKE CITY             ,IL,  , ,6/2/89,A, 
5IS5,TWENHAFEL FLD                                     ,POSEY                 ,IL,  , ,12/22/05,I, 
5IS6,WEBSTER                                           ,TOULON                ,IL,  , ,6/2/89,A, 
5IS7,CAST                                              ,FAIRMOUNT             ,IL,  , ,7/28/14,I, 
5IS8,CENTEGRA HOSPITAL MCHENRY                         ,MC HENRY              ,IL,  , ,11/19/12,A, 
5IS9,MC PHERSON                                        ,CARTHAGE              ,IL,  , ,6/11/02,A, 
5J0 ,GRANT CO RGNL/OGILVIE FIELD                       ,JOHN DAY              ,OR,  , ,7/10/02,A, 
5J1 ,OSWALD FIELD                                      ,ALLENDALE             ,SC,  , ,10/22/02,I, 
5J2 ,SILTCOOS LAKE                                     ,FLORENCE              ,OR,  , ,2/14/08,I, 
5J3 ,ESTILL MUNI                                       ,ESTILL                ,SC,  , ,10/22/02,I, 
5J4 ,HARPERS                                           ,ESTILL                ,SC,  , ,7/28/14,I, 
5J5 ,HOLLY HILL                                        ,HOLLY HILL            ,SC,  , ,6/2/89,A, 
5J7 ,KERSHAW MUNI                                      ,KERSHAW               ,SC,  , ,10/22/02,I, 
5J8 ,CYPRESS BAY                                       ,LITTLE RIVER          ,SC,  , ,10/22/02,I, 
5J9 ,TWIN CITY                                         ,LORIS                 ,SC,  , ,6/2/89,A, 
5K0 ,BRESSLER FIELD                                    ,BIRD CITY             ,KS,  , ,6/2/89,A, 
5K1 ,ZELMER MEMORIAL AIRPARK INC                       ,PALMYRA               ,IL,  , ,6/2/89,A, 
5K2 ,TRIBUNE MUNI                                      ,TRIBUNE               ,KS,  , ,6/2/89,A, 
5K3 ,H. J. PAUL AHP                                    ,CAMP ASHLAND(ASHLAND) ,NE,  , ,6/2/89,A, 
5K4 ,SCHUY-RUSH                                        ,RUSHVILLE             ,IL,  , ,6/2/89,A, 
5K5 ,LAURENS SKYWAYS                                   ,LAURENS               ,IA,  , ,10/22/02,I, 
5K6 ,WESTOSHA                                          ,WILMOT                ,WI,  , ,7/24/02,A, 
5K7 ,WEBER FLD                                         ,VIRDEN                ,IL,  , ,7/28/14,I, 
5K8 ,COOPER FLYING SERVICE                             ,ALBA                  ,MO,  , ,10/22/02,I, 
5K9 ,PRUETZ MUNI                                       ,KULM                  ,ND,  , ,5/26/10,I, 
5KE ,KETCHIKAN HARBOR                                  ,KETCHIKAN             ,AK,  , ,6/2/89,A, 
5KO ,KOGGIUNG                                          ,KOGGIUNG              ,AK,  , ,7/28/14,I, 
5KS ,KASILOF                                           ,KASILOF               ,AK,  , ,6/2/89,A, 
5KS0,ANTHONY                                           ,ANTHONY               ,KS,  , ,9/29/92,A, 
5KS1,THRESHING BEE                                     ,MC LOUTH              ,KS,  , ,6/27/02,A, 
5KS2,FORTMEYER                                         ,GOODLAND              ,KS,  , ,3/19/13,I, 
5KS3,DEWEZE                                            ,HARPER                ,KS,  , ,6/27/02,A, 
5KS4,HALL FARMS                                        ,KANORADO              ,KS,  , ,6/2/89,A, 
5KS5,HOBSON                                            ,LEOTI                 ,KS,  , ,10/22/02,I, 
5KS6,MOLLENKAMP FIELD                                  ,LEOTI                 ,KS,  , ,3/15/07,I, 
5KS7,ANTHONY HOSPITAL                                  ,ANTHONY               ,KS,  , ,6/27/02,A, 
5KS8,JACK POORE                                        ,MC DONALD             ,KS,  , ,6/2/89,A, 
5KS9,BLACK                                             ,MC DONALD             ,KS,  , ,6/2/89,A, 
5KY0,SAINT JOSEPH JESSAMINE                            ,NICHOLASVILLE         ,KY,  , ,5/26/10,A, 
5KY1,FLAGET MEMORIAL HOSPITAL                          ,BARDSTOWN             ,KY,  , ,7/26/10,A, 
5KY2,LARKINS FARM                                      ,BARDWELL              ,KY,  , ,11/24/04,A, 
5KY3,WEST KENTUCKY AIRPARK                             ,PADUCAH               ,KY,  ,N,7/7/08,A, 
5KY4,STANDARD FIELD                                    ,ELKTON                ,KY,  , ,11/27/06,A, 
5KY5,LOWE                                              ,CADIZ                 ,KY,  , ,3/17/05,A, 
5KY6,JAKE'S FIELD                                      ,SMITHFIELD            ,KY,  , ,2/14/08,A, 
5KY7,DALE HOLLOW RGNL (PETRO FIELD)                    ,ALBANY                ,KY,  , ,3/15/07,A, 
5KY8,HAROLD REYNOLDS                                   ,SALVISA               ,KY,  , ,10/5/10,A, 
5KY9,ST. JOSEPH - LONDON                               ,LONDON                ,KY,  , ,11/19/12,A, 
5L0 ,LAKOTA MUNI                                       ,LAKOTA                ,ND,  , ,7/9/02,A, 
5L1 ,JOE GOTTLIEB FIELD                                ,BAKERSFIELD           ,CA,  , ,10/22/02,I, 
5L2 ,CYR AVIATION                                      ,BLYTHE                ,CA,  , ,7/28/14,I, 
5L3 ,BLYTHE SERVICE CENTER                             ,BLYTHE                ,CA,  , ,1/8/03,I, 
5L4 ,BORAX                                             ,BORON                 ,CA,  , ,10/22/02,I, 
5L5 ,BORREGO AIR RANCH                                 ,BORREGO SPRINGS       ,CA,  , ,6/2/89,A, 
5L6 ,WASILLA LAKE                                      ,WASILLA               ,AK,  , ,6/2/89,A, 
5L7 ,LARSH                                             ,COLFAX                ,IN,  , ,11/20/02,I, 
5L9 ,NBC-TV                                            ,BURBANK               ,CA,  , ,1/8/03,I, 
5LA0,JUNEAU                                            ,SHREVEPORT            ,LA,  , ,7/1/93,A, 
5LA1,KENT'S FLYING SERVICE                             ,MOREAUVILLE           ,LA,  , ,7/1/93,A, 
5LA2,MOBIL                                             ,MORGAN CITY           ,LA,  , ,6/2/89,A, 
5LA3,KERR MC GEE                                       ,MORGAN CITY           ,LA,  , ,6/2/89,A, 
5LA4,SHELL MORGAN CITY                                 ,MORGAN CITY           ,LA,  , ,3/19/13,I, 
5LA5,RTI/DATA-COM                                      ,MORGAN CITY           ,LA,  , ,5/11/93,A, 
5LA6,E-8 TANK BATTERY                                  ,VENICE                ,LA,  , ,1/31/90,A, 
5LA7,BRISTOW U.S. LLC                                  ,NEW IBERIA            ,LA,  , ,11/19/12,A, 
5LA8,LA STATE POLICE TROOP D                           ,LAKE CHARLES          ,LA,  , ,12/20/07,A, 
5LA9,RON                                               ,SUNSET                ,LA,  , ,7/26/10,A, 
5LL0,BECKERMAN FIELD                                   ,MOUNT CARMEL          ,IL,  , ,6/11/02,A, 
5LL1,HILVETY                                           ,MOWEAQUA              ,IL,  , ,6/11/02,A, 
5LL2,PAUL E. KROENLEIN                                 ,MOWEAQUA              ,IL,  , ,6/11/02,A, 
5LL3,MAYHALL                                           ,MURDOCK               ,IL,  , ,6/11/02,A, 
5LL4,SELLERS                                           ,TRIUMPH               ,IL,  , ,9/1/05,I, 
5LL5,GORDON BROWN                                      ,TRIVOLI               ,IL,  , ,6/2/89,A, 
5LL6,BUNN                                              ,NEBO                  ,IL,  , ,12/22/05,I, 
5LL7,HILBERT'S FUNNY FARM                              ,UNION                 ,IL,  , ,6/2/89,A, 
5LL8,HUGH VAN VOORST                                   ,UNION HILL            ,IL,  , ,6/2/89,A, 
5LL9,MORRISON COMMUNITY HOSPITAL                       ,MORRISON              ,IL,  , ,11/24/04,A, 
5LS0,SHELL CHEMICAL WEST SITE                          ,GONZALES              ,LA,  , ,5/26/10,A, 
5LS6,ARKLA FLYERS INC                                  ,MER ROUGE             ,LA,  , ,6/27/02,A, 
5LS9,AMMONS                                            ,ZWOLLE                ,LA,  , ,6/27/02,A, 
5M0 ,HARTSELLE-MORGAN COUNTY REGIONAL                  ,HARTSELLE             ,AL,  , ,9/26/08,A, 
5M1 ,DE WITT MUNI                                      ,DE WITT               ,AR,  , ,6/2/89,A, 
5M2 ,BREDLOW FARM                                      ,ENGLAND               ,AR,  , ,6/2/89,A, 
5M3 ,MOULTONBORO                                       ,MOULTONBORO           ,NH,  ,N,6/26/06,A, 
5M4 ,FORDYCE MUNI                                      ,FORDYCE               ,AR,  , ,10/25/07,A, 
5M5 ,CRYSTAL LAKE                                      ,DECATUR               ,AR,  , ,6/2/89,A, 
5M6 ,SUGAR SPRINGS AIRPARK                             ,GLADWIN               ,MI,  ,N,11/19/12,A, 
5M7 ,MOUNTAIN LAKES FIELD                              ,HELENA                ,MT,  , ,5/26/10,I, 
5M8 ,GURDON LOWE FIELD                                 ,GURDON                ,AR,  , ,5/29/02,A, 
5M9 ,MARION-CRITTENDEN COUNTY                          ,MARION                ,KY,  , ,6/2/89,A, 
5MA0,FEDERAL CENTER                                    ,WALTHAM               ,MA,  , ,6/26/06,A, 
5MA2,FULLER HOUSE                                      ,EAST FALMOUTH         ,MA,  , ,6/26/06,A, 
5MA3,PASPORT                                           ,WEST BROOKFIELD       ,MA,  , ,6/26/06,A, 
5MA4,DOUBLE A                                          ,CARVER                ,MA,  , ,6/26/06,A, 
5MA5,SOUTHEND FARM                                     ,MILLIS                ,MA,  , ,6/26/06,A, 
5MA6,ST. LUKE'S                                        ,NEW BEDFORD           ,MA,  , ,6/26/06,A, 
5MA7,COCHITUATE                                        ,NATICK                ,MA,  , ,6/26/06,A, 
5MA8,SOUTH POND                                        ,SOUTHWICK             ,MA,  , ,6/26/06,A, 
5MA9,ALLEN'S POND                                      ,WESTPORT              ,MA,  , ,3/19/13,I, 
5MD0,MARBLE HEAD FARM                                  ,RIDGELY               ,MD,  , ,4/10/08,I, 
5MD1,BROOKLANDVILLE                                    ,BROOKLANDVILLE        ,MD,  , ,7/2/02,A, 
5MD2,MARSH FIELD                                       ,FROSTBURG             ,MD,  , ,8/28/09,I, 
5MD3,SINAI HOSPITAL                                    ,BALTIMORE             ,MD,  , ,11/19/12,I, 
5MD4,AAI                                               ,COCKEYSVILLE          ,MD,  , ,1/15/09,I, 
5MD5,FLYING W                                          ,PRINCESS ANNE         ,MD,  , ,12/16/93,A, 
5MD6,FRANKLIN SQUARE HOSPITAL CENTER                   ,BALTIMORE             ,MD,  , ,12/19/13,I, 
5MD7,BLUEMEL FIELD                                     ,PRINCESS ANNE         ,MD,  , ,8/1/94,A, 
5MD8,EDELEN FIELD                                      ,LA PLATA              ,MD,  , ,8/1/94,A, 
5MD9,SUBURBAN                                          ,BETHESDA              ,MD,  , ,8/1/94,A, 
5ME ,BRANDY POND                                       ,NAPLES                ,ME,  , ,6/26/06,A, 
5MI0,DETROIT MEDICAL CENTER                            ,DETROIT               ,MI,  , ,6/2/89,A, 
5MI1,WILDS FIELD                                       ,CEDAR SPRINGS         ,MI,  , ,8/3/94,A, 
5MI2,MC QUESTION'S                                     ,LEROY                 ,MI,  , ,7/5/07,I, 
5MI3,CRIDLER                                           ,LOWELL                ,MI,  , ,8/28/09,I, 
5MI4,ANDERSON                                          ,HOWARD CITY           ,MI,  , ,8/28/09,I, 
5MI5,BORGESS MEDICAL CENTER                            ,KALAMAZOO             ,MI,  , ,6/2/89,A, 
5MI6,TV2                                               ,SOUTHFIELD            ,MI,  , ,6/2/89,A, 
5MI7,WILLIAMS FIELD                                    ,JACKSON               ,MI,  , ,6/2/89,A, 
5MI8,LAKESIDE                                          ,HOLT                  ,MI,  , ,5/11/93,A, 
5MI9,MC PHAIL CORPORATION                              ,ROCHESTER             ,MI,  , ,6/2/89,A, 
5MK ,MC KINLEY NATIONAL PARK                           ,MC KINLEY PARK        ,AK,  , ,10/22/02,I, 
5MN0,SCRABECK                                          ,HIGH FOREST           ,MN,  , ,7/28/14,I, 
5MN1,BUDDE                                             ,MANKATO               ,MN,  , ,5/2/13,I, 
5MN2,HOILAND FIELD                                     ,BAGLEY                ,MN,  , ,6/2/89,A, 
5MN3,UNIVERSITY MEDICAL CENTER MESABI                  ,HIBBING               ,MN,  , ,7/26/10,A, 
5MN4,SEVEN HILLS                                       ,CLEARWATER            ,MN,  , ,7/2/02,A, 
5MN5,BARNES                                            ,LINDSTROM             ,MN,  , ,6/2/89,A, 
5MN6,NORTHBOUND                                        ,GRAND PAPIDS          ,MN,  , ,7/2/02,A, 
5MN7,LINDEY'S LANDING                                  ,DEERWOOD              ,MN,  , ,6/2/89,A, 
5MN8,RICK MATHIAS PRIVATE                              ,DUMONT                ,MN,  , ,6/2/89,A, 
5MN9,CHANLIN FIELD                                     ,MIDDLE RIVER          ,MN,  , ,12/3/90,A, 
5MO ,PLATTSBURG AIRPARK                                ,PLATTSBURG            ,MO,  , ,7/31/13,I, 
5MO0,SKAGGS COMMUNITY HOSPITAL                         ,BRANSON               ,MO,  , ,8/4/92,A, 
5MO1,IRONS                                             ,MOBERLY               ,MO,  , ,6/2/89,A, 
5MO2,INDEPENDENCE MEMORIAL                             ,INDEPENDENCE          ,MO,  , ,11/27/06,I, 
5MO3,BIL-MITCH                                         ,MONETT                ,MO,  , ,7/5/07,I, 
5MO4,ADVANCED HEALTHCARE MEDICAL CENTER                ,ELLINGTON             ,MO,  , ,8/15/11,A, 
5MO5,ST LUKES HOSPITAL                                 ,KANSAS CITY           ,MO,  , ,6/7/91,A, 
5MO6,APACHE FLATS                                      ,RICH HILL             ,MO,  , ,11/6/02,I, 
5MO7,ST. JOHN'S RGNL MEDICAL CENTER                    ,JOPLIN                ,MO,  ,N,9/28/06,A, 
5MO8,DOUBLE E                                          ,NORBORNE              ,MO,  ,N,11/8/94,A, 
5MO9,OAK RIDGE FARMS                                   ,NEW BOSTON            ,MO,  , ,8/4/92,A, 
5MS1,ROLLANG FIELD                                     ,ROLLING FORK          ,MS,  , ,10/31/02,A, 
5MS2,TURKEY BAYOU AIRPARK                              ,LAKESHORE             ,MS,  , ,7/2/02,A, 
5MS3,PORTER                                            ,COLUMBIA              ,MS,  , ,7/2/02,A, 
5MS4,WALNUT CREEK                                      ,CANTON                ,MS,  , ,7/2/02,A, 
5MS5,MINT JULEP AIRPARK                                ,PICAYUNE              ,MS,  , ,7/2/02,A, 
5MS6,DEE'S                                             ,BRANDON               ,MS,  , ,3/19/13,A, 
5MS7,BAPTIST MEMORIAL HOSPITAL UNION COUNTY            ,NEW ALBANY            ,MS,  , ,2/14/08,A, 
5MS8,BALL                                              ,OKOLONA               ,MS,  , ,2/14/08,A, 
5MS9,PENTON                                            ,PICAYUNE              ,MS,  , ,2/14/08,A, 
5MU ,DENALI                                            ,MC KINLEY PARK        ,AK,  , ,6/2/89,A, 
5N0 ,LINCOLN HARBOR                                    ,WEEHAWKEN             ,NJ,  , ,10/22/02,I, 
5N1 ,MC PHERSON                                        ,ITHACA                ,NY,  , ,10/22/02,I, 
5N2 ,PRENTICE                                          ,PRENTICE              ,WI,  , ,7/24/02,A, 
5N3 ,GRUND FIELD                                       ,ITHACA                ,NY,  , ,12/22/05,I, 
5N4 ,SKY HAVEN                                         ,ENDERLIN              ,ND,  , ,7/9/02,A, 
5N5 ,KIRKWOOD AIRPARK                                  ,KIRKWOOD              ,NY,  , ,10/5/10,I, 
5N6 ,RIDGEFIELD PARK                                   ,RIDGEFIELD PARK       ,NJ,  , ,10/31/03,I, 
5N7 ,HAT FIELD                                         ,NUNICA                ,MI,  , ,7/2/02,A, 
5N8 ,CASSELTON ROBERT MILLER RGNL                      ,CASSELTON             ,ND,  , ,8/4/03,A, 
5N9 ,MONTAUK                                           ,MONTAUK               ,NY,  , ,10/22/02,I, 
5NA0,SEMCHENKO                                         ,MAX                   ,ND,  , ,6/2/89,A, 
5NA1,BARNICK AIRSTRIP                                  ,MILLARTON             ,ND,  , ,8/8/03,I, 
5NA2,HAUGEN FARM AIRSTRIP                              ,PORTLAND              ,ND,  , ,6/2/89,A, 
5NA3,GHYLIN                                            ,REGAN                 ,ND,  , ,8/8/03,I, 
5NA4,WC0M                                              ,ROCK LAKE             ,ND,  , ,8/8/03,I, 
5NA5,OLSON PVT FIELD                                   ,WEST FARGO            ,ND,  , ,10/22/02,I, 
5NA6,ANDERSON AIRSTRIP                                 ,WILLOW CITY           ,ND,  , ,8/8/03,I, 
5NA7,HANSON STRIP                                      ,CARPIO                ,ND,  , ,3/31/03,I, 
5NA8,LASSEY FARM STRIP                                 ,CARTWRIGHT            ,ND,  , ,3/31/03,I, 
5NA9,BLILIE AIRSTRIP                                   ,COLFAX                ,ND,  , ,10/22/02,I, 
5NC0,CAROLINA KIDNEY                                   ,GOLDSBORO             ,NC,  , ,5/16/05,A, 
5NC1,TARA AIRBASE                                      ,MOCKSVILLE            ,NC,  , ,2/22/95,A, 
5NC2,SUGAR VALLEY                                      ,MOCKSVILLE            ,NC,  , ,2/23/12,A, 
5NC3,GILLIAM - MC CONNELL AIRFIELD                     ,CARTHAGE              ,NC,  ,N,7/9/02,A, 
5NC4,MURPHY MEDICAL CENTER                             ,MURPHY                ,NC,  , ,2/23/90,A, 
5NC5,THE DUCHY                                         ,CHAPEL HILL           ,NC,  , ,7/9/02,A, 
5NC6,TARBORO-EDGECOMBE COUNTY                          ,TARBORO               ,NC,  ,N,7/9/02,A, 
5NC7,NC BAPTIST HOSPITAL                               ,WINSTON-SALEM         ,NC,  , ,6/2/89,A, 
5NC8,UNIFI                                             ,YADKINVILLE           ,NC,  , ,6/2/89,A, 
5NC9,SPRINT/CAROLINA TELEPHONE                         ,FAYETTEVILLE          ,NC,  , ,2/22/95,A, 
5ND0,STIEHL                                            ,BUFORD                ,ND,  , ,6/2/89,A, 
5ND1,FINNEMAN PVT                                      ,GOLVA                 ,ND,  , ,3/31/03,I, 
5ND2,FORSMAN                                           ,EDGELEY               ,ND,  , ,10/22/02,I, 
5ND3,CRAIG PRIVATE                                     ,BATHGATE              ,ND,  , ,6/2/89,A, 
5ND4,TESCH STRIP                                       ,LIDGERWOOD            ,ND,  , ,11/20/08,I, 
5ND5,NELSON PRIVATE                                    ,LITCHVILLE            ,ND,  , ,12/19/11,I, 
5ND6,HILLSBORO MUNI                                    ,HILLSBORO             ,ND,  , ,6/2/89,A, 
5ND7,KINNISCHTZKE                                      ,BISMARCK              ,ND,  , ,10/22/02,I, 
5ND8,FRUEH PRIVATE                                     ,GOODRICH              ,ND,  , ,6/2/89,A, 
5ND9,DECK                                              ,HILLSBORO             ,ND,  , ,6/2/89,A, 
5NE0,BAR J LAZY V                                      ,POTTER                ,NE,  , ,11/27/06,I, 
5NE1,TRUMBULL RANCH                                    ,RINGGOLD              ,NE,  , ,6/5/08,I, 
5NE2,EICKHOFF STRIP                                    ,SHUBERT               ,NE,  , ,6/2/89,A, 
5NE3,DIAMOND BAR JONES                                 ,STAPLETON             ,NE,  , ,6/2/89,A, 
5NE4,SNYDER RANCH                                      ,SUTHERLAND            ,NE,  , ,6/2/89,A, 
5NE5,TREGO                                             ,SUTHERLAND            ,NE,  , ,6/2/89,A, 
5NE6,BAKERS ACRES                                      ,TRENTON               ,NE,  , ,11/20/08,I, 
5NE7,MERRITT DAM LANDING STRIP                         ,VALENTINE             ,NE,  , ,10/22/02,I, 
5NE8,DUDDEN                                            ,VENANGO               ,NE,  , ,10/22/02,I, 
5NE9,DODSON BROTHERS                                   ,VENANGO               ,NE,  , ,6/2/89,A, 
5NI ,NIKOLAI                                           ,NIKOLAI               ,AK,  , ,11/27/06,I, 
5NJ0,FIDDLERS ELBOW COUNTRY CLUB                       ,SOMERVILLE            ,NJ,  , ,6/2/89,A, 
5NJ1,OTI                                               ,OXFORD                ,NJ,  , ,6/5/08,I, 
5NJ2,HERR MOUNTAIN                                     ,STANTON               ,NJ,  , ,6/2/89,A, 
5NJ3,GREAT GORGE COUNTRY CLUB INC                      ,VERNON                ,NJ,  , ,8/1/94,A, 
5NJ4,TRENTON                                           ,TRENTON               ,NJ,  , ,6/2/89,A, 
5NJ5,ATSION HELISTOP                                   ,TRENTON               ,NJ,  , ,6/2/89,A, 
5NJ6,CONGOLEUM HELISTOP                                ,TRENTON               ,NJ,  , ,6/2/89,A, 
5NJ7,WARREN HOSPITAL                                   ,PHILLIPSBURG          ,NJ,  , ,8/29/91,A, 
5NJ8,OYSTER CREEK GENERATING STATION                   ,FORKED RIVER          ,NJ,  , ,10/31/02,A, 
5NJ9,WEST JERSEY HOSPITAL                              ,GLENDALE/VOORHEES     ,NJ,  , ,7/9/02,A, 
5NK ,NAKNEK                                            ,NAKNEK                ,AK,  , ,6/2/89,A, 
5NK0,SALUBRIOUS POINT                                  ,CHAUMONT              ,NY,  , ,2/23/12,I, 
