date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
1978-01-21,IL,PEORIA,null,Day,Greater than 10 miles,null,Failed to Correct for Drift,Loss of Directional Control - Ground Loop,30,1,null,null,22,null,1,CESSNA,150,null,STUDENT ALLOWED AIRCRAFT TO DRIFT AND ON TOUCHDOWN WHEEL WENT INTO SNOW AND AIRCRAFT STRUCK FROZEN DIRT PILE.
1978-01-21,MT,HINGHAM,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,40,180,null,null,206,null,null,PIPER,PA28/,null,PILOT MADE LANDING, TURNED AROUND FOR TAKEOFF AND LOST CONTROL VEERING INTO A SNOW BANK.
1978-01-21,MO,KANSAS CITY,Hurricane,Day,null,null,Unsafe Acts By Third Party,Other/Miscellaneous,33,75,null,null,800,null,1,CESSNA,172,null,SMELL OF BURNING MATERIAL AFTER TAKEOFF INSPECTION REVEALED CHARRED CLOTH AGAINST EXHAUST STACK.
1978-01-21,CO,GRAND JUNCTION,Hurricane,Day,7,null,Inadequate Inspection of Aircraft - Preflight,Gear Collapse,41,1600,null,null,10000,null,2,PIPER,PA30,null,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.
1978-01-21,CA,VENTURA,Hurricane,Day,Greater than 10 miles,null,null,Gear Collapse,61,300,null,null,700,null,1,BEECH,B35,null,NOSE GEAR WOULD NOT EXTEND FOR LANDING. INSPECTION DISCLOSED BELLCRANK TO NOSEGEAR HAD BROKEN.
1978-01-22,MO,LEES SUMMIT,Hurricane,Day,null,null,null,System Malfunction or Failure,32,75,null,null,275,null,1,MOONEY,M20F,2973,SUSPECTED BLOWN TIRE FOLLOWED BY ABORTED TAKEOFF. REDUCED ENGINE POWER AND AIRCRAFT SETTLED TO BELLY.
1978-01-22,TX,MEMPHIS,Hurricane,Day,null,null,Unsafe Acts By Third Party,Airframe Failure - In Flight,29,null,null,null,null,null,1,PIPER,PA22150,null,FORCED LANDING DUE TO FAILURE OF FABRIC ON FUSELAGE BACK OF TOP OF WINDSHIELD.
1978-01-22,ME,SOUTHBRIDGE,Hurricane,Day,Greater than 10 miles,null,null,Loss of Directional Control - Ground Loop,53,76,null,null,76,null,1,CESSNA,150,null,BRAKE FROZEN ON LANDING CAUSED LOSS OF DIRECTIONAL CONTROL.
1978-01-22,WI,WAUKESHA,null,Day,5,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,31,18,null,null,18,null,1,GULSTM,AA1,null,STUDENT LOST DIRECTIONAL CONTROL ON FIRST SOLO TOUCH AND GO. RAN OFF RUNWAY.
1978-01-22,CA,SOUTH LAKE TAHO,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Other,37,74,null,null,177,null,1,CESSNA,172,null,WHILE TAXING TO PARKING AIRCRAFT STRUCK TWO PARKED CARS.
1978-01-22,CA,SACRAMENTO,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,33,null,null,null,null,null,1,GULSTM,AA1C,null,STUDENT PILOT ON FIRST CROSS COUNTRY POROISED ON LANDING.
1978-01-22,ME,WINDSOR,Hurricane,Day,null,null,Improper Level Off,Hard Landing,55,200,null,null,260,null,1,TCRAFT,BC12D,null,HARD LANDING ON SKI EQUIPPED PLANE ON SNOW COVERED RUNWAY CAUSED PLANE TO NOSE UP.
1978-01-22,OH,VANDALIA,Hurricane,Day,5,null,Landed Short,Undershoot Landing,49,145,null,null,3500,null,null,TMPSON,NAVION/,null,LANDED SHORT HITTING UNPLOWED SNOW. NOSE GEAR FORK BROKE OFF.
1978-01-22,AZ,BISBEE,Hurricane,Day,null,null,Miscellaneous Unsafe Actions - Starting Engine,Collision With Other,65,50,null,null,8000,null,null,MNMITE,M18/,null,HANDPROPPED AIRCRAFTS ENGINE STARTED AND AIRPLANE TAXIED INTO PARKED AIRCRAFT.
1978-01-22,OH,PAINESVILLE,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,30,30,null,null,450,null,1,PIPER,PA22,null,LOSS OF DIRECTIONAL CONTROL ON ROLLOUT. CONTACTED SNOW ON RUNWAY EDGE AND NOSED OVER.
1978-01-24,MI,ESCANABA,Hurricane,Night,1,null,null,Gear Collapse,null,750,null,null,7500,null,1,BEECH,B35,null,UNSAFE GEAR INDICATION. UNABLE TO GET A SAFE INDICATION. GEAR COLLAPSED. UPLOCK RELEASE CABLE FROZEN.
1978-01-24,WI,ELMWOOD,Hurricane,Day,Greater than 10 miles,null,Selected Unsuitable Terrain,Nose Up or Over,52,275,null,null,300,null,1,LUSCOM,8,null,MAIN GEAR BROKE THRU ICE WHILE TAXIING ON SNOW COVERED TAXIWAY. DAMAGE TO PROP, COWLING, ENGINE MOUNT.
1978-01-24,CA,SAN DIEGO,Hurricane,Night,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Other/Miscellaneous,26,95,null,null,171,null,1,CESSNA,150,null,PILOT ON ONE MILE FINAL TO NAS. INSTRUCTIONS TO MONTGOMERY FIELD NOT FOLLOWED CASTING DIVERSION OF TWO NAVY PLANES.
1978-01-25,PA,READING,Light Snow,Day,Less than 1 mile,null,Selected Unsuitable Terrain,Collision With Other,37,500,null,null,4800,null,null,WACO,125,null,ON TAKEOFF ROLL AIRCRAFT HIT PUDDLE WHICH CAUSED DECELERATION AND VEERING. ENTERED PLOWED SNOW AT RUNWAY EDGE.
1978-01-25,ID,BUHL,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,26,160,null,null,700,null,1,PIPER,PA18,null,PILOT MADE HARD LANDING IN HAYFIELD. BROKEN RIGHT MAIN GEAR AND WING TIP DAMAGE.
1978-01-25,ME,TURNER,Hurricane,Day,8,null,Unsuitable Terrain Snow/Ice Area,Loss of Directional Control - Ground Loop,43,8,null,null,80,null,1,PIPER,PA18,null,DURING LANDING ROLL AIRCRAFTS SKI CAUGHT IN SNOWMOBILE RUT CAUSING AIRCRAFT TO VEER CAUSING WINGTIP DAMAGE.
1978-01-26,AZ,PRESCOTT,null,Day,null,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,51,400,null,null,9000,null,1,CESSNA,185,null,AIRPLANE WITH STUDENT AND INSTRUCTOR ALLOWED AIRCRAFT TO GROUND LOOP ON LANDING ROLL.
1978-01-29,WI,MUSKEGO,Hurricane,Day,Greater than 10 miles,null,Inadequate Inspection of Aircraft - Preflight,Forced Landing,null,116,null,null,116,null,1,CESSNA,150,null,ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.
1978-01-30,PA,LOCK HAVEN,Hurricane,Day,null,null,Inadequate Inspection of Aircraft - Preflight,Gear Retrieval,64,1000,null,null,1300,null,2,PIPER,PA23250,null,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.
1978-02-01,VA,LYNCHBURG,Fog,Day,null,null,Failed to Avoid Objects or Obstructions,Gear Collapse,32,null,null,null,null,null,null,CVAC,240,null,PILOT DIRECTED INTO CRUSTY SNOW PILE WHILE TAXIING TO THE RAMP NOSE GEAR COLLAPSED.
1978-02-03,IA,AMES,null,Day,5,null,Failed to Avoid Aircraft - None or One Airborne,Aircraft Collisions - One Airborne,27,500,null,null,750,null,1,CESSNA,150,null,WHILE ACCELERATING AFTER A TOUCH AND GO LANDING, THIS AIRCRAFT WAS STRUCK BY LANDING AIRCRAFT, N5663R.
1978-02-03,DC,WASHINGTON,Light Snow,Day,null,null,null,System Malfunction or Failure,37,null,null,null,null,null,1,BEECH,B24R,null,PILOT RETURNED AFTER TAKEOFF DUE ELECTRICAL PROBLEM AND ODOR OF ELECTRICAL SMOK. VOLTAGE REGULATOR HAD FAILED
1978-02-06,TX,SAN ANTONIO,Light Snow,Day,6,null,null,Forced Landing,28,81,null,null,800,null,1,BELL,47,null,PILOT EXPERIENCED SUDDEN POWER LOSS, MADE A HARD RUTOROTATION. ENGINE CHECKED OK, NO CAUSE FOUND.
1978-02-07,MI,PONTIAC,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,31,35,null,null,130,null,1,CESSNA,172,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN ON ICY RUNWAY.
1978-02-07,IN,INDIANAPOLIS,Whirlwind,Day,Greater than 10 miles,null,null,Other/Miscellaneous,24,150,null,null,2800,null,2,CESSNA,402,null,ENGINE SURGES AFTER TAKEOFF, PILOT REDUCED POWER ON THE SURGING ENGINE AND RETURNED. WATER FOUND IN THE STRAINERS.
1978-02-08,NJ,MT HOLLY,Wind,Day,null,null,Inadequate Inspection of Aircraft - Preflight,Gear Collapse,33,12,null,null,2470,null,1,BLANCA,1730,null,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.
1978-02-08,VA,CHESTERFIELD,Hurricane,Dusk,Greater than 10 miles,null,Misused or Failed to Use Emergency Gear,Gear Collapse,54,156,null,null,6000,null,1,PIPER,PA24260,null,GEAR COLLAPSED ON TOUCHDOWN. ELECTRICAL FAILURE DUE TO POPPED CB, PILOT MANUALLY LOWERED THE GEAR.
1978-02-08,IN,INDIANAPOLIS,Light Snow,Day,4,null,null,Gear Collapse,52,850,null,null,2000,null,2,CESSNA,310,null,PILOT UNABLE TO GET A GEAR SAFE INDICATION, NOSE GEAR COLLAPSED. NOSE STRUT FOUND TO BE DEFLATED.
1978-02-08,MI,MARQUETTE,Hurricane,Day,Greater than 10 miles,null,null,Hard Landing,29,4,null,null,1950,null,1,AMTRMO,SONERAI,null,CANOPY CAME OPEN AFTER TAKEOFF, HELD ON BY HINGES. PILOT MADE HARD LANDING 50 FEET SHOURT DUE TO THE HIGH DRAG.
1978-02-09,CA,BAKERSFIELD,Fog,Day,null,null,Unsafe Acts By Third Party,Forced Landing,45,1100,null,null,8800,null,1,AYRES,S2R,null,ENGINE PROGRESSIVELY LOST POWER. EXHUST GASSES WERE GETTING INTO THE INDUCTIN SYSTEM THROUGH CARB HEAT BOX.
1978-02-09,ME,PRINCETON,null,Day,Greater than 10 miles,null,Inadequate/Improper Preflight Planning/Preparation,Collision With Airport Hazard,19,31,null,null,31,null,1,PIPER,PA28180,null,STUDENT RELEASED FOR CROSS-COUNTRY FLIGHT, NOT AWARE OF A NOTAM. LANDED AT AIRPORT CLOSED BECAUSE OF SNOW DRIFTS.
1978-02-09,OH,NORTH CANTON,null,Day,7,null,Failed to Avoid Objects or Obstructions,Collision With Other,36,54,null,null,568,null,1,CESSNA,172,null,STUDENT PILOT TAXIED TOO FAST AND TOO CLOSE TO A PARKED AIRPLANE ON AN ICY RAMP. INSTRUCTOR UNABLE TO STOP.
1978-02-10,FL,MIAMI,Hurricane,Dusk,null,null,null,Airframe Failure - In Flight,24,210,null,null,220,null,1,CESSNA,172,null,PILOT MADE A SUCCESSFUL EMERGENCY LANDING WITH NO AILERON CONTROL. THE CABLE BROKE.
1978-02-10,OH,AKRON,Hurricane,Day,Greater than 10 miles,null,Inadequate Inspection of Aircraft - Preflight,Forced Landing,62,1000,null,null,1410,null,1,PIPER,PA28180,null,PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.
1978-02-10,IA,FOREST CITY,Hurricane,Dusk,null,null,Landed Short,Undershoot Landing,50,90,null,null,1170,null,1,CESSNA,210,null,PILOT OBSERVED AN AIRCRAFT CUT IN FRONT OF HIM ON FINAL. HE TRIED TO LAND SHORT, DID SO, 200 FEET SHORT.
1978-02-10,ME,AUGUSTA,Light Snow,Day,Greater than 10 miles,null,Operational Gear Control Failed,Wheels - Up Landing,null,400,null,null,4100,null,2,BEECH,58,null,AIRCRAFT LANDED GEAR UP, PILOT STATED THAT HE HAD PUT IT DOWN.
1978-02-10,FL,FT PIERCE,Hurricane,Day,Greater than 10 miles,null,null,Gear Collapse,47,50,null,null,700,null,2,CESSNA,310,null,GEAR COLLAPSE DURING THE LANDING ROLL, CAUSE NOT DETERMINED. MAY HAVE BEEN RETRACTED BY THE PILOT.
1978-02-10,MI,EAST TAWAS,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,30,10,null,null,22,null,1,CESSNA,152,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. POSSIBLE FROZEN BRAKE. RAN INTO A SNOWBANK.
1978-02-10,CA,MONTEREY,Hurricane,Night,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,37,500,null,null,1200,null,1,PIPER,PA24250,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN RAIN AND WITH A MODERATE CROSSWIND.
1978-01-11,TX,AMARILLO,Hurricane,Day,null,null,Improper Management - Fuel Tank Selector,Forced Landing,32,30,null,null,300,null,1,BLANCA,1730,null,FORCED LANDING AFTER ENGINE QUIT. PILOT FAILED TO SWITCH FUEL SELECTOR.
1978-02-27,FL,FORT LAUDERDALE,Hurricane,Day,null,null,Improper Operational Brake - Flight Control-Ground,Collision With Other,56,15,null,null,2200,null,2,PIPER,PA34200,null,AIRCRAFT WAS ALLOWED TO STRIKE TAXIWAY LIGHT WHILE ATTEMPTING TO STOP IN RUNUP AREA.
1978-02-27,MD,WESTMINSTER,null,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Collision With Other,25,143,null,null,461,null,null,MORISY,2150,null,DURING TRAINING, FLIGHT INSTRUCTOR REDUCED POWER IMMEDIATELY AFTER TAKEOFF. AIRCRAFT VEERED & STRUCK SNOWBANK.
1978-02-27,PA,ALLENTOWN,null,Day,Greater than 10 miles,null,Landed Short,Collision With Other,37,1200,null,null,1500,null,1,PIPER,PA28181,null,AIRCRAFT STRUCK SNOWBANK ON APPROACH END OF RUNWAY. NOSE GEAR & PROP DAMAGED.
1978-02-28,AK,ANCHORAGE,Hurricane,Day,Greater than 10 miles,null,Improper Procedure in Torque Flight Compensator,Loss of Directional Control - Ground Loop,28,30,null,null,31,null,1,CESSNA,170,null,STUDENT PILOT EXPERIENCED WAKE TURBULENCE ON TOUCHDOWN. LOST CONTROL AND GROUND-LOOPED.
1978-02-28,MA,NEW BEDFORD,Unknown,Day,null,null,Inadequate Inspection of Aircraft - Preflight,Other/Miscellaneous,null,25,null,null,2000,null,2,DOUG,DC3,null,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.
1978-02-28,MN,MINNEAPOLIS,Hurricane,Day,null,null,Misunderstood Orders, Instruction, etc.,Other/Miscellaneous,24,100,null,null,100,null,1,PIPER,PA28151,null,PILOT TOOK OFF WITHOUT CLEARANCE FROM TOWER.
1978-02-28,OH,BROOKVILLE,null,Day,7,null,Miused Carburetor Heat / Deicing Procedure,Forced Landing,46,3000,null,null,4000,null,1,CESSNA,150,null,ON 1ST INSTRUCTIONAL TOUCH & GO, ENGINE BEGAN SURGING AFTER CARB HEAT WAS REAPPLIED. LANDED IN FIELD.
1978-02-28,WI,SPRINGFIELD,null,Day,7,null,Landing Far Down / Land Area Overshot,Nose Up or Over,26,4,null,null,60,null,1,PIPER,PA22108,null,STUDENT LANDED LONG RUNNING OFF DEPARTURE END OF RUNWAY INTO SNOWBANK.
1978-02-28,OH,PIQUA,Hurricane,Day,7,null,Selected Unsuitable Terrain,Loss of Directional Control - Ground Loop,38,400,null,null,666,null,1,BEECH,B35,null,PILOT DID NOT SEE SNOWDRIFT WHICH HAD FORMED OVER NIGHT. WHEEL STRUCK SNOWBANK WHICH PULLED PLANE OFF RUNWAY.
1978-02-28,TX,EL PASO,Light Snow,Day,null,null,Full to Low Fuel,Forced Landing,26,175,null,null,500,null,1,MOONEY,M20G,null,PILOT RAN OUT OF FUEL. MADE TWO PREVIOUS STOPS WITHOUT ADDING FUEL.
1978-03-01,KS,LAWRENCE,Light Snow,Night,1,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,26,null,null,null,null,null,2,RKWELL,681,null,PILOT LOST DIRECTIONAL CONTROL ON TAKEOFF. RAN INTO DEEPER SNOW AT RUNWAY EDGE. NOSE GEAR COLLAPSED.
1978-03-01,NE,LINCOLN,Hurricane,Day,5,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,30,60,null,null,60,null,null,PIPER,PA28/,null,PRIVATE PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND.
1978-03-01,TX,BIG SPRING,Hurricane,Dusk,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,30,1,null,null,312,null,1,BLANCA,14193,null,PILOT FORGOT TO EXTEND THE GEAR BEFORE LANDING.
1978-03-01,SC,NORTH MYRTLE BE,Hurricane,Night,null,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,28,30,null,null,300,null,1,PIPER,PA32260,null,PILOT STRUCK AN UNMARKED CURB ALONG THE TAXIWAY EDGE. ONE MAIN GEAR COLLAPSED.
1978-03-01,WI,FT ATKINSON,Hurricane,Day,Greater than 10 miles,null,Landed Short,Undershoot Landing,46,150,null,null,500,null,1,PIPER,PA22150,null,PILOT UNDERSHOT SHORT FIELD LANDING. STRUCK SNOWBANKS, LOST CONTROL AND OVERTURNED.
1978-03-01,DC,WASHINGTON,Light Snow,Night,null,null,null,Engine Malfunction,null,null,null,null,null,null,2,PIPER,PA31350,null,ENGINE FAILED AND LOCKED UP DURING APPROACH. SUSPECTECD CAUSE PISTON OR CONNECTING ROD FAILURE.
1978-03-01,WI,MADISON,Light Snow,Day,null,null,null,Loss of Directional Control - Ground Loop,35,200,null,null,3000,null,null,PIPER,601,null,PILOT LOST DIRECTIONAL CONTROL DURING LANDING ROLL DUE TO BRAKE FAILURE. RIGHT BRAKE DISC FOUND TO BE BROKEN.
1978-03-01,DE,CHESWOLD,Hurricane,Night,Greater than 10 miles,null,Inadequate/Improper Preflight Planning/Preparation,Overshoot Landing,null,1000,null,null,3000,null,1,CESSNA,210,null,PILOT LANDED LONG ON AT NIGHT ON UNLIGHTED AIRPORT. OVERSHOT RUNWAY. AIRPORT WAS NOTAMED CLOSED.
1978-03-02,CA,SANTA MARIA,Light Snow,Day,null,null,null,Engine Malfunction,null,47,null,null,869,null,1,RKWELL,112,null,ENGINE FAILED DUE TO LOSS OF OIL. OIL SCAVENGE LINE FROM TURBOCHARGER HAD FAILED. OIL WAS PUMPED OVERBOARD.
1978-03-02,AL,MONTGOMERY,Light Snow,Day,null,null,null,Fire or Explosion - On Ground,27,null,null,null,null,null,2,CESSNA,421,null,ENGINE FIRE WAS DETECTED AFTER LANDING. FIRE WAS DUE TO A FAILED EXHAUST SLIP JOINT. EXHAUST INSPECTION OVERDUE.
1978-03-02,ID,ATOMIC CITY,Light Snow,Day,Greater than 10 miles,null,Unsuitable Terrain Snow/Ice Area,Other/Miscellaneous,36,189,null,null,3491,null,1,CESSNA,172,null,AIRCRAFT BROKE THROUGH CRUSTED SNOW AFTER LANDING. MINOR DAMAGE TO THE NOSE SECTION & A WING-TIP.
1978-03-02,NY,GREENWOOD LAKE,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,36,330,null,null,330,null,1,CESSNA,172,null,PILOT MADE HARD LANDING, THEN LOST DIRECTIONAL CONTROL. HIT A SNOWBANK.
1978-03-02,MA,BEDFORD,Light Snow,Night,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,35,325,null,null,1600,null,1,PIPER,PA32R300,null,PILOT LOST DIRECTIONAL CONTROL ON AN ICY TAXIWAY. SLID INTO A SNOWBANK.
1978-03-02,CA,BANNING,Hurricane,Day,3,null,Forgot to Extend Landing Gear,Wheels - Up Landing,51,55,null,null,1099,null,1,CESSNA,210,null,PILOT FORGOT TO EXTEND LANDING GEAR.
1978-03-02,GA,ATHENS,Hurricane,Day,2,null,Early Liftoff - Intercepted By Terrain,Wheels - Up Landing,36,120,null,null,743,null,1,BEECH,S35,null,AIRCRAFT LIFTED OFF, VEERED TO LEFT & SETTLED BACK TO GROUND AFTER THE GEAR HAD BEEN RETRACTED.
1978-03-02,IN,ELKHART,null,Day,7,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,33,17,null,null,17,null,1,PIPER,PA28140,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER LANDING. ICE PATCHES ON THE RUNWAY.
1978-03-02,PA,KUTZTOWN,Hurricane,Day,Greater than 10 miles,null,Unsuitable Terrain Snow/Ice Area,Gear Collapse,35,20,null,null,807,null,1,PIPER,PA28R200,null,NOSE GEAR COLLAPSED DURING ROLLOUT ON SNOW AND ICE.
1978-03-03,TX,CONROE,Light Snow,Day,null,null,null,Gear Collapse,41,150,null,null,2500,null,2,BEECH,9555,null,GEAR COLLAPSED AFTER LANDING, HAD NOT BEEN FULLY EXTENDED. NOSE GEAR WAS NOT CENTERED, JAMMED IN THE WHEEL WELL.
1978-03-03,MA,NORTH HATFIELD,Hurricane,Day,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,48,41,null,null,300,null,1,CESSNA,150,null,PILOT CONTINUED FLIGHT TO FUEL EXHAUSTION.
1978-03-03,MA,SHIRLEY,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,null,17,null,null,450,null,1,BLANCA,8,null,PILOT BOUNCED DURING ATTEMPTED WHEEL LANDING, DAMAGED THE PROP.
1978-03-03,IN,ELKHART,Hurricane,Night,2,null,Improper Operational Brake - Flight Control-Ground,Gear Collapse,40,111,null,null,135,null,1,CESSNA,210,null,AIRCRAFT DRIFTED AFTER TOUCHDOWN, LEFT MAIN STRUCK A RIDGE OF ICE AND COLLAPSED.
1978-03-03,AR,WEST MEMPHIS,Hurricane,Day,null,null,Attempt Operation With Different Equipment,Gear Collapse,57,1000,null,null,3000,null,1,MOONEY,M20F,null,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.
1978-03-03,CA,ONTARIO,null,Day,5,null,Misused or Failed to Use Emergency Gear,Gear Collapse,35,35,null,null,2000,null,1,CESSNA,210,null,NOSE GEAR COLLAPSED AFTER CLEARING THE RUNWAY. EMERGENCY PROCEDURES HAD BEEN USED INCORRECTLY, GEAR WAS OK.
1978-03-03,PA,FACTORYVILLE,Hurricane,Day,3,null,Unsuitable Terrain Snow/Ice Area,Loss of Directional Control - Ground Loop,31,100,null,null,10405,null,1,HELIO,HST550,null,PILOT LOST DIRECTIONAL CONTROL AFTER LANDING. DRIFTED SNOW ON THE RUNWAY.
1978-03-04,IN,CRAWFORDSVILLE,Hurricane,Dusk,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,38,25,null,null,487,null,1,BLANCA,11,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND.
1978-03-04,AK,TALKEETNA,null,Day,null,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,21,32,null,null,35,null,1,CESSNA,152,null,STUDENT PILOT ACCEPTED LINE SERVICE ASSURANCE THAT FUEL WAS FULL. GAUGES INDICATED NOT FULL. TOOK OF, RAN OUT.
1978-03-04,IN,MONTICELLO,null,Day,10,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,37,31,null,null,31,null,1,PIPER,PA28140,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND.
1978-03-04,WI,DELAVAN,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Loss of Directional Control - Ground Loop,43,16,null,null,100,null,1,PIPER,PA28180,null,PILOT BALLOONED DURING FLARE FOR LANDING IN MODERATE CROSSWIND. AIRCRAFT DRIFTED TO SIDE OF RUNWAY. HIT SNOWBANK
1978-03-04,WI,HAYWARD,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,25,25,null,null,150,null,1,PIPER,PA28180,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND. NUMEROUS PATCHES OF ICE AND SNOW.
1978-03-04,TX,KILLEEN,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Wires-Poles,22,50,null,null,50,null,1,CESSNA,150,null,FLIGHT RETURNED FROM LOW ALTITUDE PHOTOGRAPHIC MISSION WITH WINDSHIELD COLLAPSED & WIRE MARKS ON THE WINGS.
1978-03-04,MI,FLINT,Hurricane,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Hard Landing,32,null,null,null,55,null,1,CESSNA,172,null,UNCERTIFICATED PILOT ENTERED CONTROL ZONE WITHOUT RADIO CONTACT, BLEW A TIRE ON LANDING, AND ENDED IN SNOWBANK.
1978-03-04,TX,DENTON,Light Snow,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,58,400,null,null,800,null,1,CESSNA,210,null,PILOT FAILED TO EXTEND THE LANDING GEAR BEFORE LANDING.
1978-03-04,MI,KALAMAZOO,Hurricane,Day,8,null,Unsuitable Terrain Snow/Ice Area,Undershoot Landing,32,160,null,null,165,null,1,CESSNA,150,null,PILOT ATTEMPTING TO LAND SHORT ON A PARTIALLY PLOWED (1500 FT) RUNWAY, LANDED SHORT IN SNOW. MADE HARD LANDING.
1978-03-04,MT,BELGRADE,Low Ceiling,Day,Greater than 10 miles,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,25,300,null,null,630,null,1,CESSNA,182,null,AIRCRAFT RAN OUT OF FUEL AFTER A SHORT LOCAL FLIGHT.
1978-03-04,IA,MASON CITY,null,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Collision With Other,52,9,null,null,20,null,1,PIPER,PA28151,null,STUDENT PILOT WAS LOOKING INSIDE COCKPIT AFTER ENGINE START. AIRPLANE MOVED FORWARD, STRIKING ANOTHER AIRCRAFT.
1978-03-04,TX,FORT STOCKTON,null,Dusk,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,30,27,null,null,110,null,1,GULSTM,AA1,null,STUDENT PILOT LOST DIRECTIONAL CONTROL AFTER LANDING. WAS NOT PROPERLY ENDORSED FOR SOLO.
1978-03-04,OH,ZANESVILLE,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,59,1,null,null,217,null,1,CESSNA,172,null,PILOT LOST DIRECTIONAL CONTROL AFTER LANDING. NOSE STRUT WAS OVER INFLATED, AND NOSE WHEEL COULD NOT BE TURNED.
1978-03-04,MO,KENNETT,Light Snow,Day,Greater than 10 miles,null,null,Wheels - Up Landing,31,100,null,null,400,null,1,PIPER,PA28R200,null,PILOT UNABLE TO EXTEND NOSE GEAR DUE TO A SEPARATED EXHAUST MANIFOLD WHICH HAD DROPPED INTO THE WHEEL WELL.
