c5,remark
19730602020929A,
19730602028809A,THIRD SOLO LDG.
19730603012149A,"SIMULATED FORCED LDG.FLARED TOO LATE,T/R HIT STUMP IN TALL GRASS."
19730603012739A,OTR ACFT PARKED ABOUT HALFWAY DOWN & TO SIDE OF PRIVATE STRIP.
19730603013429A,HIGHER THAN NML APCH DUE TREES AND PWR LINES AT RWY THRESHOLD.
19730603013739A,"PLT STRUCK TREE DRG DOWNWIND TAKEOFF CLIMB,SOD 1300FT RWY HAD UPSLOPE."
19730603014139A,NOSE GR HIT EMBANKMENT SHORT OF RWY.
19730603014719A,ACFT LNDD IN TREES.PLT RPTD FUEL TANK VENT OBSTD.NO FUEL FOUND IN EITHER TANK-NO SIGNS OF LEAKS.
19730603014729A,PLT CHECKING OUT A NEW PILOT IS NOT FAA FLIGHT INSTRUCT OR CERTIFICATED.
19730603015219A,INSUFFICIENT HOT AIR FOR RAPID ASCENT TO CLEAR PWR LINES.
19730603015509A,DURING FERRY RETRN FLT TO OPER BASE ACFT MADE 2 LOW PASS OVER RIVER.ON 2ND PASS LDG GR HIT WATER.
19730603015749A,ENTERED FOG BANK & DESCENDED INTO OCEAN.ACFT SANK.
19730603015759A,CFI SIMULATED ENG FAILURE WITH MIXTURE CONTROL.UN RESTART ENG.FIELD PREPARED FOR PLANTING.
19730603016139A,VW ENGINE.
19730603016149A,HIGH TREES ON APPROACH END OF 1400 FT RUNWAY.HIT STONE FENCE.
19730603016159A,"1ST SUPERVISED SOLO.FLARED OUT HIGH FOR LDG,ACFT T/D IN R CRAB."
19730603016489A,
19730603018529A,SKYDIVERS JUMPED OK.ACFT CRASHED IN HI SPEED IMPACT.PLT HAD MASSIVE MYOCARDIAL INFARCTION.
19730603020529A,INSPECTION OF THE MAGNETO DISCLOSED AN INTERNAL OPEN CIRCUIT.
19730603021959A,TKOF FM NARROW GRAVEL ROAD.PLT LOCKED RT BRAKE ON TKOF ROLL.
19730603022399A,GO-ARND FRM LOW APCH TO ABANDONED STRIP IN MTNS.DENS ALT APRX 13500FT.
19730604012329A,"DNWND SWATH RUN.ADDED FULL PWR TO CLR TREES APRX 40FT HI,UN CK DSCNT."
19730604013439A,SPECTATOR WALKED INTO ROTATING PROP
19730604014149A,NARROW AG STRIP.VEERED INTO DITCH.
19730604014739A,"ABT HALF WAY DWN STRIP ACFT OBSVD VERY SLO,PULL UP,LOST ALT HIT POWER LINE 20FT BLO ARPT ELEV."
19730604014749A,INSIDE ACFT OF 3 ACFT WINGTIP-TO-WINGTIP FORMATION FLIGHT.
19730604014959A,EXTDD GR UN OBTAIN SAFE GR LIGHT.GR FITTINGS AND RETRACT LINKS ENCRUSTED WITH GREASE AND DIRT.
19730604015519A,"ACFT HIT RICE FLD LEVEE,KNOCKED OFF M LDG GR.ACFT MADE BELLY LANDNG ON SOD AT ABBEVILLE ARPT."
19730604015529A,HARD LDG SHORT OF PREPARED AG STRIP.
19730604015999A,"SHORT FLD TKOF,ACFT FLEW OUT OF GND EFFECT THEN SETTLED INTO 2ND ROW OF TREES."
19730604016499A,ACFT PLACARDED-SPINS PROHIBITED.PLT FAILED TO USE ESTABD SPIN RECOVERY TECHNIQUE.
19730604016879A,FLOAT EQUIPPED.TKOF FM A LAKE 83NM WEST OF NEWTOK.NSED OVR IN TUNDRA.
19730604017159A,"DNWND TURN,FULL LOAD,SETTLING WITH PWR,FELL INTO CEMETERY."
19730604017369A,BECAME AIRBORNE & SETTLED INTO GRND TWICE.RAN INTO BRUSH.OVER MAX GROSS WT 1339 LBS.WIND CALM.
19730604017659A,PLT STATED OVR FLEW DEST ARPT DUE ADVERSE WINDS.SOD SW STRIP AVBL.
19730604018349A,ACFT LOCATED 6/12/73.PLT TIME TO 9/16/70.FOG RPRTD VCNTY FOX IS ALL DAY.
19730604020539A,VFR FLT NOT ADVIZED.
19730604020939A,"DRG R CLBG TURN,L WING DROPPED ABRUPTLY."
19730604027689A,ACFT STARTED DRIFTING DRG FLARE FOR LDG.STUDENT LOST CONTROL AFTR TOUCHDOWN.WIND GUSTING 30K.
19730605012959A,DRG PULL UP FROM LAST RUN TAILWHEEL HIT TOP WIRE.10HRS RECORDED IN LAST 24HR PERIOD.SPRAYING MILO.
19730605012969A,"PILOT ATTEMPTED PROLONGED GLIDE WITH ENGINE IDLING.DIVERTED ATTN TO ENG RE-START,HIT WIRES."
19730605013749A,SKID NOT UNCOUPLED FROM TRAILER. ACFT NOT ENGAGED IN AERIAL APPLICATION.
19730605014409A,WIND GUSTING 28K.
19730605014969A,RPM DECAYED TO APRX 1400.
19730605014979A,HIT PUMP HOUSE WIRES. SULPHUR DUST RESTRICTED PLTS VISION.
19730605015229A,FLUID LEAK FOUND ON L BRAKE HYD LINE.ENTRD DITCH L LDG GR COLLAPSED.
19730605016169A,SPRAYING FOR WEED CONTROL-NO CROPS INVOLVED.MAIN ROTOR RPMS TOO LOW UN SUSTAIN FLT.1HR CROP CTL.
19730605016509A,
19730605016519A,LWR R WING DRAGGED GRAIN GROWING ADJACENT TO RWY.ACFT ENTRD GRAIN FLD NOSED OVR.2HR THIS ACFT.
19730605017669A,"PLT RPTD BLACK CLDS AND LIGHTENING AFTR 1ST TKOF LCL FLT.NOSE WHEEL ENCTRD MUDDY RUT,FAILED."
19730606014159A,HIT GND R WING LOW.ACFT STALLED AT TIME OF CTC.ATMTD LINE UP WITH GULLY.
19730606014419A,
19730606014759A,FUEL PUMP SHAFT SHEARED.PLT TRIED TO RET TO FLD & HAD TO LND IN SAND DUNES.
19730606014769A,IP INTENT ON WATCHING STUDENTS SPEED CONTROL DID NOT NOTE GR NOT LWRD.
19730606015239A,"ROUGH RUNNING ENG.LNDD ON RWY,RAN OFF SOUTH END."
19730606015539A,AIRBORNE DRG HI SPEED TAXI TEST.DUE LACK OF REMAIN RWY CONT FLT.ELEC FUEL PUMP SWITCH ACDNTLY OFF.
19730606015769A,"LET DOWN INTO OCST,AUTO-PLT ON. UN MAINTAIN CTL & CRASHED IN SWAMP."
19730606016009A,"PSGR BECAME ALARMED,STEPPED ON L RUDDER."
19730606016179A,
19730606016529A,PLT USED R HAND TO OPEN WINDOW.LOST ACFT CTL.WHEEL(MODEL NO.40-97A) INSTALLED.
19730606017679A,PILOT NOT FLIGHT CHECKED OR CURRENT IN TYPE ACFT.
19730606017689A,"FLAP FUSE BLEW OUT ON GO AROUND.PAX REMOVED FUSE,INSERTED KEY & RAISED FLAPS.ACFT SETTLED FRM 10FT"
19730606018729A,"PLT RPTD ROUGH ENG,AT 200FT ENG OK.DRIVER OF AUTO STOPPED ON HWY EST ACFT ALT 50FT BFR WIRE STRIKE"
19730607013509A,"ACFT IN L CLBG TURN THEN R,WING DROPPED ACFT WENT INTO VERT DIVE,R TURN.ELEV TRIM FULL DWN."
19730607013949A,FLEW INTO FOG ON 3RD SOLO FLT.IP CLRD PLT TO FLY IN PATTERN WITH FOG BANK NEARBY.ACFT SANK.
19730607015249A,UNAUTH FLT.HIT PRKD ACFT DURNG TAXI.LOST CTL IN STEEP LOW ALT PULL UP.BLOOD ALC LVL.0452 GM/100 ML
19730607015549A,PLT PRACTICNG AG OPS SPRAYNG WATER.ACFT OBSVD IN STEEP CLB TURN R INTO VERY TIGHT TURN BFR DSCNDG.
19730607015559A,(.4) NO NARRATIVE
19730607015779A,
19730607015789A,SURVEYING SPRAY AREA.HIT PWR LINES. TRUCK HIGH TENSION WIRES.
19730607015799A,"DARK NIGHT,HELICOPTER STARTED SPINNING,PLT DID NOT KNOW DIR OF SPIN BUT TRIED STOP SPIN WITH RUD."
19730607015809A,"TUG WITH PODS CROSSED TAXIWAY AHEAD OF ACFT.VEHICLE HAD NO SIDE LTG,PLT DIDNT USE LDG LTS."
19730607017699A,ACFT HIT A ROAD GRADER.
19730607018739A,CIRCLED PUMP HOUSE ABOUT 50 FT AGL. OBS SAW ACFT ENTER SHARP CLIMB TO AVOID 60 FT PWR LINES.
19730607036259A,ROLLED OFF END OF RWY HIT HVY WET SCRUB GROWTH.
19730608013299A,FLARED ABRUPTLY AFTER CLEARING TREES.
19730608014169A,ABOUT 4 GAL EA TANK BFOR TKOF.UNUSABLE FUEL 3 GAL.
19730608014179A,LWR PART OF WINDSHIELD HIT WIRES.END SWATH LOOKING DIRECTLY INTO THE SUN.
19730608014779A,SUSPECTED LOW ENG OIL PRESS.HIT WIRES DRG LOW ALT TURN.
19730608014789A,PILOT SHUT DOWN ENGINE UNABLE TO GLIDE TO ARPT LNDD IN SWAMP.PROP BLADE BKN ABT 7IN FROM TIP.
19730608014989A,"BOUNCED LDG,HIT ON NOSE GR."
19730608014999A,HIT DITCH COLLAPSING NOSE GEAR.
19730608015819A,"APCH MADE OVR TELEPHONE POLES AND WIRES,RWY DOWNHILL."
19730608015829A,
19730608016019A,"VEERED OFF RWY TOWARD WIND TEE,STUDENT HIT BRAKES HARD.IP ATMTG SALVAGE BOUNCED LDG."
19730608016029A,ACFT L/M LDG GR ENTRD PLOWED SHOULDER.PLT FLT TIME 14HRS LAST 24HR PERIOD.
19730608016039A,PLOWED FURROWS ADJACENT TO RUNWAY.
19730608018359A,"LRGR PROP,CG UNK.ERRATIC FLT,NOSE DROP EA PWR REDCTN,TRIM FULL FWD.PITOT CVR ON.1ST FLT 1973.GUSTY"
19730608020139A,HIT TWO PWR LINES ABT 1MI SHORT OF RWY 8.
19730608026199A,R WG LIFTED DRAGGED L WG IN LAKE BOTTOM. FLOAT EQUIPPED. GUSTING TO 35K.
19730609013519A,
19730609014189A,HIT A SMALL KNOLL W OF RWY.
19730609014199A,APCH SPEED TOO FAST. MISUSED BRAKES. FIRST SOLO FLT IN CONV GR ACFT.
19730609014209A,HAND PROP DUE SOLENOID MALF.HOT ENG. MISC-INADVERTENT ENGINE START
19730609014429A,"LNDD 1 MILE SHORT OF RWY.DID NOT REFUEL ACFT BFR TKOF,FLEW OVR 4HRS."
19730609014439A,"DRG GO-AROUND BFR GAINING SUFFICIENT A/S PLT RAISED GR AND FLAPS,ACFT DSCNDD BACK TO RWY."
19730609015009A,"ENG PWR LOSS NOT SUBSTANTIATED.AFTR L/O ACFT SETTLED BACK TO RWY,VEERED L,HIT GRASS OBSCURED FENCE"
19730609015019A,CRANKSHAFT FAILED AT PROP FLANGE CAUSED LOSS OF PROP.CRACK CAUSED BY PREVIOUS PROP STRIKE.
19730609015029A,BROKEN FUEL LINE FITTING.GYROCOPTER BOUNCED THROUGH BRUSH AND HIGH WEED WHICH CAUSED ROLL OVER.
19730609015039A,PULL UP FROM SIMULATED FORCED LDG.MUD DAUBER PLUGGED OUTLET FITTING OF R FUEL STRAINER.
19730609015049A,PIC RETRACTED LDG GR INSTEAD OF FLAPS.PREV ACFT FLOWN HAD FLAP AND GR CTLS OPPOSITE TO BEECH J35.
19730609015259A,ABT 5FT ABV APCH END OF RWY R WING DROPPED HIT RUNWAY.BOTH SPARS IN WING BENT.
19730609016049A,"DRG SHORT FLD TKOF,PLT DIVERTED HIS ATTN TO PAX A/S DECREASED TO STALL,HIT GND DRG RCVRY."
19730609016189A,L LDG GR HIT VW AND R WG AND R LDG GR HIT PONTIAC AND DODGE CARS.CRANKSHAFT & CAMSHAFT BEARNGS.
19730609016199A,"ACFT HIT LEVEE,LDG GR TORN OFF.LNDD IN PLOWED FLD."
19730609016209A,"ATC TOLD PLT HE WAS FOLLOWING B-707 5-6 MI AHEAD,WARNED OF TURB.PLT UN FLY G/S,LOST CTL.ACFT SANK."
19730609016219A,LAST FLT BFR ACDT 3/11/72 LAST SOLO FLT 9/20/52. ACFT PREP HI SPEED TAXI TEST PLT TKOF-1ST FLT.
19730609016539A,GEOLOGICAL SURVEY FLT 30-40 FT AGL. HIT PWR LINES THAT BLENDED INTO TERRAIN.POLES SET 900FT APART.
19730609016549A,"PILOT BOUNCED SEVERAL TIMES, MADE GO-AROUND, NOSE GEAR COLLAPSED UPON SECOND LANDING."
19730609016559A,"STEEP PULL UP FROM LOW PASS. ENG CUT OUT,PLT LOST CTL. UN RECOVER IN TIME TO AVOID TERRAIN."
19730609016889A,PILOT DID NOT APPLY SUFFICIENT CARBURETOR HEAT.
19730609017169A,RAN OUT OF FUEL. LOST CTL TRYING TO RET TO ARPT.
19730609017379A,PLT HAD NO MED CERT OR PLT RATING.DN WIND TKOF. ACFT HIT TREES AND TWO COTTAGES.
19730609017389A,RUNWAY LIGHTING NOTAM STATING LIGHTS ON REQUEST NOT LISTED IN AIM-TWO LIGHTED AIRPORTS NEARBY.
19730609017709A,PIC IN RT SEAT.
19730609018369A,"SHORT SOD RUNWAY,AT TREE TOP LVL AS DROPPED TO 60MPH CTLS MUSHY.UN CLB OVR WIRES FLEW UNDER THEM."
19730609018749A,
19730609018939A,ENG SPUTTERED SWITCHED TANKS LWRD NOSE OF ACFT TO RETAIN FLYING SPEED HIT WIRES.
19730609018949A,"E TKOF LONGER THAN NORMAL ROLL BARELY CLRD FENCE SLO STEEP CLB.LOAD APRX 1980LBS,FUEL WT ABT 240LB"
19730609019639A,WALKING GR RETAINING COLLAR FAILED CAUSING OLEO DRAG LEG TO DISCONNECT.
19730609022199A,"DMGD TAIL BOOM,MN ROTOR BLADES,TAIL ROTOR AND SKID GR.WIND GUSTING 12K.EXT SLING LOAD.LNDD IN MDW."
19730609023329A,GUSTING TO 25K. R FLOAT DUG INTO LAKE.
19730610012979A,"MADE CROSS WIND TURN TO SOON IN DIRECTION OF MTNS TRRN.ARPT ELEV 454FT HIT TREES ON MTN,800FT LVL."
19730610014449A,NOSE GEAR STRUCK HOLE IN HAY FLD.
19730610014799A,HIT GND ON L WING AND NOSE.
19730610015269A,R HORIZONTAL STABILIZER LEAD EDGE MOUNT TUBE BKN AT ATTACH HOLE.STITS DWG 2/17/68 CVRS.NOT C/W.
19730610015279A,1-WHEEL RETRACTABLE.HIT GRND NSE AND R WG FIRST.
19730610015569A,EXECUTED ABRUPT STEEP 180 DEG TURN AT PATTERN ALT FOR UNDET REASON.
19730610015649A,DRG TAKEOFF ROLL ACFT WENT OFF THE RWY TO THE L.
19730610016329A,"3RD APCH,RAPID THROTTLE DRG NGT LDG AT UNLTD STRIP.LNDD IN ADJ AREA,VEERED ACFT TO AVOID BARRELS."
19730610016569A,LOW PASS AT FUNERAL. HAD BEEN FLYING ACFT WITH 20-30 MPH LOWER STALL SPEED.
19730610016579A,WIND GUSTING 8K.AERIAL SEARCH.HIT TREES.
19730610018379A,EXHAUST VALVE IN NO.3 CYL SEPN.
19730610021589A,"LNDD LAST 150 FT OF RWY,NOSED OVER ON SOFT OVERRUN."
19730610022409A,LNDD ON UPSLOPE.
19730610023679A,IMPACTED MTN SLOPE ABOUT 60 MI OFF CRSE IN CLEAR WEA.FLT PHASE UNK.RECOVERY DATE 7/19/73.
19730610025579A,STRUCK LIGHT STANDARD AND FENCE.
19730611014809A,
19730611015059A,"1 TENTH HR THIS MAKE,MODEL.FLT TO ACCUMULATE HRS AND EXP IN THIS TYPE ACFT."
19730611015069A,
19730611015579A,"DRG PRECAUTIONARY LDG APCH PLT SAW FENCE,OPENED THROTTLE.ENG DID NOT RESPOND,HIT FENCE."
19730611015589A,DIVERTED ATTN TO ACFT ON EMGCY LDG IN OPPOSITE DIRECTION.
19730611015839A,
19730611016589A,NO LIGHTS ON RUNWAY ALIGNED WITH WIND.HIT MOUND OF DIRT 32FT S OF RWY.WIND GUSTING.
19730611016599A,LND LONG INTNTLY TO AVOID WAKE TURB FROM OTR RWY.PLT STATED BRAKES KNOWN WEAK.
19730611018389A,ACFT HIT A ROCK ON THE RWY.
19730611018759A,"PLT DECLARED ENG COWL LOOSE. LOST CTL DURING ATTEMPTED RET TO FLD.CRASHED IN PARKING LOT,HIT TRUCK"
19730611018769A,INVESTIGATION UNDER THE JURISDICTION OF THE BAHAMIAN GOVERNMENT.
19730611019649A,NO EVIDENCE OF FATIGUE OR OTR PRE-EXHISTING CRACKS.FAILURE APPEARED TYPICAL OF IMPACT OVERLOAD.
19730611020739A,
19730612013959A,LND ON 60 DEG MTN SLOPE TO PICK UP PAX.M/R BLADE HIT GRND.CRASHED 200 FT DOWNSLOPE.GUSTING TO 30K.
19730612014219A,
19730612014819A,
19730612015289A,WIND GUSTING 25K.
19730612016609A,PLT STARTED TKOF WITH GR HANDLE IN UP POSITION.
19730612016899A,"EMERG LDG IN SOFT BEAN FLD.BOTH WINGS,LDG GR BENT."
19730612017399A,PLT ELECTED TO LND DNWND UP HILL.
19730612017719A,
19730612018089A,"FUEL GAGE INACCURATE.LND IN FLD,HIT DITCH. VERED WITH MESQ TREES,BRUSH HIT DITCH."
19730612018779A,ACDT SITE ABT 1/4MI FROM LAST FLD PLT PLANNED TO SPRAY.ACFT OBSVD DSCND THEN IN STEEP R TURN.
19730612018959A,
19730612041269A,
19730613014459A,BELIEVED COYOTE HUNTING.
19730613015599A,STRIP DWNHILL GND ELEV WHERE AIRBORNE 25FT HIGHER THAN TREE BASE.ACFT ALT CONSTANT AFTR L/O.
19730613015849A,RWY COVERED WITH HIGH GRASS.DITCH OBSCURED.
19730613016229A,"IP GAVE SIM FORCED LDG SHORTLY AFTER TKOF OVER UNSUITABLE TERRAIN.ENG QUIT,MIXT RICH.D/A 8500 FT."
19730613016619A,STANDARD SINGLE WHEEL LANDING GEAR.ACFT BOUNCED T/D ABT 50FT W OF LDG AREA HIT TREE.
19730613017179A,AT MOMENT OF LIFT OFF PLT ALLOWED ACFT TO TURN INTO WIND.LIFTED L WING TO CLR POLE WHEEL HIT DIRT.
19730613017189A,"PLT OWNER OF PA-30 ACFT,FLAP CTL R OF PEDESTAL GR ON L.THIS ACFT CTLS REVERSED GR CTL ON R."
19730613017729A,WIND GUSTING 10K.
19730613018539A,"PLT USED TWO CUSHIONS TO ADJ HIS PSN IN ACFT,BELIEVED LWR CUSHION WORKED FWRD BLOCKED ELEV CTL."
19730613018789A,TOOK OFF WITH FOUR KNOWN DEFICIENCIES IN EQUIP.FUEL SELECT FOUND OFF.ACFT DESTROYED BY FIRE.
19730613019959A,WASTE GATE ACTUATOR ARM BINDING.PLT ATMTD PARTIAL PWR LNDG.
19730613020749A,INVESTIGATION UNDER JURISDICTION OF GOVT OF MEXICO.
19730613022209A,SPRAYING ALFALFA.
19730613022569A,"FLEW N OF FLD SEARCHING FOR THERMAL COND,NONE FOUND UN REACH ARPT.HIT TREE DRG APCH TO ROAD.WHEELS"
19730613025899A,"INFLT ABT 2HR.BOTH WING TANKS CONT FUEL,VALVES OFF.MAIN TANK EMPTY FUEL VALVE ON."
19730613026299A,NO WITNESSES TO FLT PRIOR TO L WG SEPARATION DUE OVERLOAD. SPRAYING PEANUTS.
19730613033839A,ELEV TRIM FULL NOSE UP.ACFT ZIGZAGGED DRG TAKEOFF ROLL BECAME AIRBORNE HIT TREES L OF RWY.
19730614014829A,GLIDER PLTS FIRST SOLO FLT.IMPROPER OPN OF FLT CTLS.
19730614016239A,BOUNCED LDG GROUND LOOPED TO THE RIGHT.
19730614016249A,LOST PRESS ON LEFT BRAKE DUR LNDG PHASE.
19730614016251A,"TAXIED INTO N179L PREPARING FOR FLT. PLT OF N136C STATED RAMP LTG WAS LIMITED,WAS USING TAXI LT."
19730614016252A,"PLT OF N179L WAS SECURING CARGO,CP WAS IN COCKPIT. ACFT NAV LTS WERE OFF."
19730614016269A,INLET AIR TO CARB BLOCKED BY SECTION OF CARB HEAT VALVE.PADDLE AROUND SHAFT WORN THIN FRM MOVEMENT
19730614016279A,OAK-WILT SURVEY FLT FOR W VA DEPT OF AGRICULTURE.DRG DSCNT ENCTRD DWNDFT UN CLB OUT WITH FULL PWR.
19730614016629A,PLT OBSRVD EXCDNG 60 DEG BK LO ALT. SPRYNG ALFALFA.
19730614016639A,GND FIRE DESTROYED FUSELAGE L R WING ASSY.FLD HAD OBSTNS ON ALL SIDES WITH 2 PWR LINES IN THE FLD.
19730614016649A,"ACFT DRIFTED R NOSE HI.PLT MANAGED TO GET ACFT BACK OVR RWY,WHEELS MADE CTC."
19730614017739A,L WG HIT FIRST FOLLOWED BY NSE AND R WG TIP.
19730614018799A,ARPT MGR FOUND ACFT BETWEEN RWY AND TAXIWAY.INJURY INDEX PRESUMED.
19730615015299A,ACFT CONTACTED GRND IN A STEEP NOSE DN ATTITUDE.
19730615015309A,STUDENT HAD BEEN FLYING THE CESSNA 150 DRG PREV WEEK.CESSNA FLAP SWITCH BEECH GR SWITCH IN SIM PSN
19730615015859A,BEGAN TKOF ON RWY 18 CONT TO RWY 24. RAN OFF RWY INTO SAND.
19730615016289A,OVERRAN RUNWAY ROLLED INTO A CORNFIELD.
19730615017409A,"APRX 100FT AGL ACFT BEGAN TO SINK,PLT CKD PWR RLSD ONE NOTCH OF FLAPS.HIT GND IN NOSE LOW ATTITUDE"
19730615017749A,HIT PWR LINE.
19730615017759A,"ACFT ENTERED A CLOUD OF DUST,LOST SIGHT OF BURNING RAGS USED FOR VIS GUIDANCE."
19730615018969A,PLT NOT CERTIFICATED.ENCTRD TSTM ACTIVITY UN LOCATE DEST ARPT.LNDD IN SOFT FLD WITH TALL GRASS.
19730615032349A,VOLTAGE REGULATOR FAILED CAUSING EXCESSIVE OVRLOAD.VOLTAGE OVRLOAD RELAY FAILED.
19730616014229A,HIT TELEPHONE POLE.
19730616014469A,LANDED TO SOUTH INTENTIONAL GROUND LOOP TO LEFT.HIT PARKED BEECH BARON N454A CAUSED SUB DAMAGE
19730616014839A,FST 25 PER CENT OF RWY APPRD ROUGH.
19730616015079A,"PILOT FLEW INTO VALLEY UNABLE TO CLIMB ABV RISING TRRN.PLT SIGHT SEEING,TAKING PICTURES."
19730616015609A,
19730616016059A,WINDS GUSTING TO 55K BLEW ACFT OVER. PLT HAD REQ WING WALKERS FROM UNICOM ON LDG.
19730616016909A,"STUDENT CERT EXPIRED,NOT SOLO ENDORSED.SHUT ENG DOWN TWICE TO SOAR,COULDN'T RESTART."
19730616017419A,TKOF RWY UPSLOPE. UN TO CLEAR PWR LINES AND RISING TRRN.
19730616017769A,SERIOUS INJURY-NO DAMAGE.SINGLE FIXED WHEEL.UNPREPARED AREA.PAX UNK.10MIN FLT.
19730616017779A,HIT PWR LINES.
19730616020149A,ENCTRD SVR TURB APRX 1000FT AGL.PLT ELECTED TO LND AT ARPT APRX 12MI E.WIND GUSTING 36K.
19730617015619A,"WATER IN ACFT FUEL SYS AND FUEL FACILITY.QUICK FUEL DRAINS NOT INSTLD,DRAINED THRU FUEL STRAINER."
19730617016659A,UN STOP ON WET GRASS SLID INTO SOFT SOYBEAN FLD.
19730617017199A,HIT GRND & TREES
19730617017789A,
19730617017799A,ACFT HIT AN ADMINISTRATION BLDG.
19730617018399A,OPERATING FROM ABANDONED ARPT.
19730617018809A,"RIVETS POPPED IN FUSELAGE HULL.PLT ATMTD TKOF BUT ABORTED DUE LACK OF SPEED,ACFT SANK."
19730617018979A,
19730617018989A,STUDENT PREFORMING 3RD SUPVD SOLO LNDG.
19730617019459A,LND IN CORN FLT NEXT TO RWY.LOST CTL DRG GO ARND
19730617019969A,LDG DELAYED DUE CONFLICTING TRAFFIC ON RWY 27 AND 23.DNWND LEG LOWER THAN NORMAL.
19730617020159A,
19730617021969A,RECOVERED JUST BFOR IMPACT.UN AVOID TREES.
19730617024099A,"HIT MARINA BLDG.BOUNCED LDG,INITIATED GO-AROUND ABT 300FT BFR END OF RWY."
19730617024989A,HIT PWR LINES 37FT ABV GRND.
19730617028819A,
19730617041469A,"ONLY ONE TANK DUMPED,UNDET REASON.DENSITY ALT 9500FT."
19730618015629A,PLT 1ST TKOF WITH LOAD OF PAX AT HIGH DENSITY ALT AND AN UP SLOPNG RWY WITH A CLIFF AT THE END.
19730618016669A,WIND GUSTING 20K.ACFT DID NOT HAVE A CURRENT ANNUAL INSPECTION.
19730618016919A,"FLARED HIGH.SKIDS HIT DIRT,BLADES CTCTD BOOM."
19730618016929A,NO GR MALFUNCTION FOUND.
19730618017809A,STUDENT COMPLETED 90DEG TURN IP APPLIED FULL PWR FOR GO ARND.HIT WIRES.
19730618018099A,R WG MN SPAR AT R STRUT ATTACH PT WEAKENED BY MISLOCATED DRILLED HOLES.
19730618018409A,ACFT NOSE YAWED L DRG FLARE OUT FULL PWR APPLIED NOSE YAWED FURTHER L ATMTD CLB OVR TREES.
19730618018999A,M/R BLADES HIT TREE. SPRAYING WATERMELONS.
19730618020169A,ACFT WHEEL HIT PERSON ON GRND.INVESTIGATION UNDER JURISDICTION OF BAHAMIAN GOV.
19730618020949A,WND GUSTING 50K.PLT LNDD AFT ENCTR HIGH GUSTS.THEN CONT ON NEXT LEG OF FLT.
19730618021269A,ACFT TURNED OVR IN A BRUSH THICKET.
19730618021579A,HIT EMBANKMENT SHORT OF RWY.
19730618021699A,ANNUAL INSP 6/12/73 TIME SINCE SHR.TOP SPARK PLUG IN NR 1 CYL OUT OF HOLE STILL ATTACHED TO LEAD.
19730619015319A,HIT TREES
19730619015869A,PAX DEPLANED IN CONFINED AREA.PLT DIDNT INSURE HE HAD CLRD AREA BFOR TKOF.M/R BLADE HIT PAX.
19730619016939A,"NR 9 CYL HEAD BROKE DURING SWATH RUN. LNDD IN RICE FLD.LDG GR HIT DIRT LEVEE,ACFT NOSED OVER."
19730619017209A,DRG PRACTICE AUTOROTATION ENG QUIT.TAIL ROTOR DRIVE AND BOOM SEVERED FROM HELICOPTER.
19730619017219A,BRAKING ACTION REDUCED DUE TO WET GRASS.
19730619018549A,PROP HIT RWY ON 3RD BOUNCE.APCHG TREES UN CLB OUT OF GND EFFECT PLT STALLED ACFT INTO WATER.
19730619019009A,COLLIDED WITH PORTABLE TOILET.PLT ATTN DIVERTED TO OTR PORTABLE TOILET ON OPPOSITE SIDE OF TAXIWAY
19730619019019A,
19730619019341A,ABOVE ACFT.
19730619019342A,CRUSHED RUDDER.
19730619021219A,WIND GUSTING 20K.PLT RPTD LDG GR CAUGHT IN THE SOIL AND WIND FLIPPED THE AIRCRAFT.
19730619022219A,HEAVY LOAD.DENS ALT ABT 5000FT MSL.
19730619022689A,
19730620016949A,"BOUNCED LDG,DID NOT ADD PWR.ACFT NOSE HEAVY,NOSE WHEEL HIT RWY."
19730620017429A,IP AWARE OF SOFT COND OF RWY PLANNED LDG TO AVOID SOFT AREA THOUGHT T/D AREA SUITABLE.
19730620018419A,"SHORT FLD LDG PRACTICE.TRIMMED NOSE HI,BOUNCED LDG,NOSE WOULD NOT COME DNN,PLT RAISED FLAPS."
19730620018559A,ACFT BALLOONED THEN DROPPED IN ON THE L GR.
19730620019659A,"SIMULATED EMGCY LDG TO LAKE,FLOAT EQPD ACFT IN R TURN OVR SWAMP."
19730621016069A,"STALLED FROM PULL UP AFTER LOW PASS AT STRIP MINE.ABOUT 76 LBS OVER MAX GROSS WT,DENS ALT 4700 FT."
19730621017449A,"ACFT LNDD ACROSS FURROWS,GR COLLAPSED."
19730621017819A,PLT AND UNIT CHIEF DID NOT DISCUSS PROCEDURE WITH FLAGMAN.FLAGMAN WALKED INTO PATH OF ACFT.
19730621017829A,
19730621018109A,SWAMP TRRN.
19730621018569A,ACFT LNDD WITH SIDE LOAD ON R GR.
19730621019359A,"ATMTD LOW ALT,A/S MNVR AT NEAR MAX GWT.DENS ALT ABOUT 7000."
19730621019369A,STRUCK WIRES.
19730621019669A,DUR TKOF A TRUCK DROVE ONTO RWY IN FRONT OF ACFT. ACFT HIT GRAPE VINE POSTS.
19730621019979A,L BRAKE WHEEL CYL LEAKING BRAKE CLIP HOLDING BRAKE PUCK TO WHEEL MISSING.STRUCK A SIGN.
19730621021439A,"DIDNT EVADE TSTM.L AIL CTL CABLE SEPARATED DUE LIGHTNING STRIKE.PLT LOST CTL,ACFT DISINTEGRATED."
